alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1761555680.7838,elite,110.41581780842,1720611949.0067,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762848684,1763023734.5215,80,http,http://172.67.177.198:80,false,17.304658889771,80754,4710,94.488907610222,172.67.177.198
true,1758182728.5077,elite,110.94006159373,1742408260.2834,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Amsterdam,Europe,EU,"The Netherlands",NL,,true,"Cloudflare London, LLC",52.3676,4.90414,false,"NSS B.V",true,"North Holland",success,Europe/Amsterdam,1012,1762849190,1763023733.9935,80,http,http://185.148.107.111:80,false,18.817186355591,80691,985,98.794015377834,185.148.107.111
true,1759208326.3962,elite,110.05201240636,1742556280.8005,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Belize City","North America",NA,Belize,BZ,,true,"Cloudflare London, LLC",17.4983,-88.1842,false,"Inter Networks",true,"Belize District",success,America/Belize,,1762848959,1763023733.9081,80,http,http://45.131.211.58:80,false,15.418291091919,81143,3051,96.376226334418,45.131.211.58
true,1759218109.3686,elite,114.0910798216,1753529678.1898,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762848727,1763023732.9846,80,http,http://104.19.165.4:80,false,19.854545593262,63351,103,99.837677687774,104.19.165.4
true,1759218119.9577,elite,111.34633018066,1742479964.3065,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"South Bend","North America",NA,"United States",US,,true,"Cloudflare London, LLC",41.6743,-86.2466,false,"Crowe LLP",true,Indiana,success,America/Indiana/Indianapolis,46601,1762848673,1763023732.6952,80,http,http://159.246.55.4:80,false,18.048524856567,81289,918,98.883306774362,159.246.55.4
true,1759208361.8299,elite,110.94318546137,1727472799.2161,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762848840,1763023732.0972,80,http,http://104.16.106.207:80,false,18.68462562561,80560,3792,95.504552352049,104.16.106.207
true,1761555572.0437,elite,110.59643020828,1750609655.4061,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762849143,1763023731.3871,80,http,http://172.67.182.126:80,false,17.178773880005,80552,95,99.882202685779,172.67.182.126
true,1762391473.0087,elite,110.30825131379,1742335656.1663,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,"United Kingdom",GB,,true,"Cloudflare London, LLC",51.5072,-0.127586,false,"F3 Markets N.V",true,England,success,Europe/London,W1B,1762848887,1763023729.7646,80,http,http://185.193.30.198:80,false,15.194416046143,80762,3375,95.988685120696,185.193.30.198
true,1759208327.6044,elite,110.90320048257,1742457684.3787,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Belize City","North America",NA,Belize,BZ,,true,"Cloudflare London, LLC",17.4983,-88.1842,false,"Inter Networks",true,"Belize District",success,America/Belize,,1762848856,1763023729.3419,80,http,http://45.131.210.123:80,false,15.689611434937,81309,3337,96.057699123408,45.131.210.123
true,1762572789.8554,elite,111.08776946479,1733573969.3654,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762849075,1763023729.0732,80,http,http://172.67.219.251:80,false,19.762277603149,80611,1079,98.679152895091,172.67.219.251
true,1761555525.6806,elite,111.09730948424,1742442316.2109,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Cloudflare London, LLC",50.1109,8.68213,false,,true,Hesse,success,Europe/Berlin,60313,1762848441,1763023728.946,80,http,http://181.214.1.71:80,false,19.244194030762,80753,964,98.820318905491,181.214.1.71
true,1758180610.9783,elite,110.93243406883,1742565511.7812,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762848872,1763023728.261,80,http,http://104.24.227.92:80,false,17.269611358643,80458,2994,96.412308872166,104.24.227.92
true,1758178221.7026,elite,110.43397249359,1742570890.4962,"AS399077 Tcloudnet",TERAEXCH,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",false,Tcloudnet,1.35208,103.82,false,"Tcloudnet, Inc",true,"North West",success,Asia/Singapore,858877,1762849013,1763023727.9603,80,http,http://206.238.236.100:80,false,18.752336502075,81227,619,99.243701585905,206.238.236.100
true,1760882224.9402,elite,111.25515741685,1729497268.6722,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762849127,1763023727.955,80,http,http://104.27.19.76:80,false,17.374277114868,80750,3892,95.401809976135,104.27.19.76
true,1758182548.2836,elite,110.48576353998,1720453830.3192,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762849061,1763023727.9477,80,http,http://172.67.229.34:80,false,19.922733306885,81580,7087,92.007172905365,172.67.229.34
true,1761572805.3429,elite,110.77764033919,1748559264.2159,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Great Golden Horse Co",1.35208,103.82,false,"Rich TOP EC Limited",true,"North West",success,Asia/Singapore,858877,1762848817,1763023727.1867,80,http,http://154.194.12.97:80,false,19.670724868774,81127,3529,95.831364581365,154.194.12.97
